Query;Label
I want to know number of chargestations in each of the federal state.;0
so for each federal state, show the number of locations at the moment.;0
Order locations for each state descending.;0
number of locations group by federal state.;0
For each state, the number of cars_per_charging_points in April2020.;0
Give descending order of chargingpoints_per_cars in all states next month.;0
what is the overview of increase of charging stations in each federal state in 2022.;0
what is the increase of locations in each federal state from January 2022 to March 2022.;0
the increased chargingpoints of each state between 2020 and 2022.;0
show the new number of charging_stations of each state in year 2021?;0
return all counties which have less than 3% percentage_of_target at the beginning of 2021. ;0
Give me all county that have larger than 1000 Charging_stations in January 2022.;0
Give me all counties that have Charging_points above average in last month.;0
show all states that have smaller than 600 Charging_points in Feb 2022.;0
show all states that have below 600 cars per chargingpoint in March 2022.;0
show all state that have below average 600 stations in Jan 2020.;0
Give all states have Charging_stations above average in next month.;0
Which of the states have number of chargepoints per cars in Feb 2022 below average?;0
The states with number of charge_stations below average in Mar 2021.;0
all states that have less than 900 next month.;0
Give me all states that have Charging_points under average in the second month of 2022.;0
all states whose number of Charging_points between 400 and 600 in the second month of 2022.;0
all federal states with Percentage_of_target more than 10% last month.;0
Return federal states which have between 299 and 309 locations on the moment.;0
show all states that have below average locations in Feb 2022.;0
show all states that have Percent_of_target between 8 and 10% in October 2021.;0
which counties have more than 20 new charging stations in 2021;0
which county in Niedersachsen has less than 2% of locations from June 2020 to June 2022?;0
Return the top3 states that has the most locations in October 2019.;0
Return the bottom 3 states that has the most locations in April 2021.;0
Give me 5 counties in Brandenburg on top in the second month of 2018.;0
Return the Below three countys that has the most charging_station  in May 2019.;0
The top5 states with the highest Percentage_of_target in the beginning of 2018.;0
what are the 5 states that have the most new Charging_stations from 2020 to 2022?;0
Which county has the highest number of fast chargers?;0
which federal state has the most number of fast chargestations?;0
County that has the lowest number of fast chargingstations;0
Show federal state which has the most normal charging stations;0
What's the cars_per_chargingpoints in Berlin at the beginning of 2020?;0
Tell me how many locations are there in July 2021?;0
What's the number of point in Berlin?;0
What's the total number of locations in Germany in May 2018?;0
What's the number of locations in Sachsen in May 2021;0
I want to know chargingpoints_per_cars in Hamburg next month?;0
I want to know cars/chargingpoint of Hamburg next month?;0
How many chargingstations are there in Kassel now?;0
In end of 2020, how many chargingstations does Dresden have?;0
In Nov 2021, how many Charging_stations are there in Berlin?;0
Percentage of target in Leipzig.;0
Show the average number of locations of a county in Nordrhein-Westfalen in May 2021;0
What's the mean number of locations of a federal state now;0
The avg number of charging stations of all federal states.;0
What is the average number of stations of all federal states last month.;0
I want to know average number of chargingpoints of a county in Bayern in Sept 2021;0
What is the average locations number the first month of 2020?;0
The average number of chargestations last month in Sachsen-Anhalt.;0
What is the Percentage_of_target of Niedersachsen the end of 2019.;0
How much has Berlin achieved until the beginning of 2020 in its Percentage_of_target?;0
How much Percentage of target has Berlin achieved by the end of 2021 in its target?;0
Show the avg chargepoints_per_1000_cars for all states now.;0
Return cars per chargingpoints for Coburg last month.;0
what is the value of number of stations in Berlin in Jan 2020.;0
At end of 2020, the average number of Percentage_of_target of all states.;0
The average number of Charging_stations of all states At end of 2020.;0
How many new charging points were build in Hessen, Niedersachsen and Sachsen between march 2019 and november 2021? ;0
How high is the average expansion of charging points per federal state per year?;0
How large is the average expansion of charging stations per county per year?;0
what is the average increase of charging stations per county each year?;0
how many chargingstations in Berlin are fast ones?;0
how many fast chargers does Sachsen have in total?;0
how many normal charge stations are there in Germany?;0
I want to know number of slow charging_stations in MECKLENBURG-VORPOMMERN.;0
How many fast charging stations can be found in Dresden?;0
what is the number of fast chargers in München?;0
What's the number of chargingpoints in Berlin by the end of 2019?;0
what is the average number of fast charge_stations?;0
